Molarity,NaCl,Sucrose,Arginine,pH,Buffer,Concentration (mg/mL),Formulation ID,Base Value,Predicted Value
1.9756932729598153e-08,-3.29844035698563e-10,7.17616483650588e-10,-4.892439671469195e-09,-1.3028745321962666e-08,8.585553873378451e-09,7.133500770059602e-09,11,3.012718037819096e-07,3.1921437860946594e-07
1.9442419306682024e-08,-4.0158442040126285e-10,6.483651547015084e-10,-6.354431895711175e-09,-1.3287358912983525e-08,8.208523756282925e-09,-3.780292374773889e-09,11,3.012718037819096e-07,3.057474443957062e-07
1.8822649586892205e-08,-4.6121540703255217e-10,5.696256442127004e-10,-7.552302163448104e-09,-1.352523170156382e-08,7.746518487074221e-09,-1.4901868173124612e-08,11,3.012718037819096e-07,2.919699800549196e-07
4.166645797403331e-09,5.456653660554866e-10,-1.1763608343134886e-09,-1.2140856707868344e-08,4.413451967981164e-09,-1.194414568206306e-08,1.4251503588177443e-08,12,3.012718037819096e-07,2.9938770727728214e-07
4.0756876895419846e-09,5.694356970986331e-10,-1.2263958124259673e-09,-1.3583927390503276e-08,4.143107920053383e-09,-1.2145891455463352e-08,8.042929636890201e-09,12,3.012718037819096e-07,2.911467500671012e-07
3.828469171797656e-09,6.062424793541071e-10,-1.317373519954789e-09,-1.620139680974406e-08,3.6003523625161094e-09,-1.2412751182271991e-08,-4.707418000042295e-09,12,3.012718037819096e-07,2.746679282835643e-07
3.515302641006104e-09,6.259073855003338e-10,-1.3889436251908379e-09,-1.8253275882979784e-08,3.0997960552091107e-09,-1.2476301930339793e-08,-1.6849669735298024e-08,12,3.012718037819096e-07,2.595446186898167e-07
-2.249253952437241e-08,9.506550173770847e-11,1.825815561964791e-09,-7.856039874759039e-09,-1.2324554519971657e-08,-1.0136906899403633e-08,1.3225865956650016e-08,13,3.012718037819096e-07,2.6360850998375535e-07
-2.30934483702724e-08,7.668250514080445e-11,1.8012958677117436e-09,-8.601765253729288e-09,-1.2459345487089021e-08,-1.026132686373061e-08,7.435993411306794e-09,13,3.012718037819096e-07,2.561698895912476e-07
-2.3993787488288217e-08,3.850873221917657e-11,1.7309627381151989e-09,-9.980584811214086e-09,-1.2640446031624262e-08,-1.0391020959017494e-08,-4.402492842927885e-09,13,3.012718037819096e-07,2.4163294311917204e-07
-2.442238742314019e-08,0.0,1.6387299448644014e-09,-1.1097372667737643e-08,-1.2691802809433539e-08,-1.0351794789232816e-08,-1.560866483037258e-08,13,3.012718037819096e-07,2.2873851120685722e-07
1.3870916891165933e-09,-9.672747047786033e-11,-3.539996221211433e-09,1.5079855030381285e-08,1.1599030798704877e-09,1.2945177184784537e-08,4.809966645014177e-09,14,3.012718037819096e-07,3.330170737193874e-07
1.3072210216363832e-09,-4.168388994373222e-11,-3.4197098975524205e-09,1.685463423000167e-08,1.5570562768794774e-09,1.3757198869601783e-08,-2.229513782173782e-09,14,3.012718037819096e-07,3.2905700661035897e-07
